date,temperature,feels_like,dew,humidity,precip,wind_gust,wind_speed,wind_direction,sea_level_pressure,cloud_cover,visibility,solar_radiation,solar_energy,uv_index,start_hour,Nitrogen Dioxide (Parts Per Million),Nitric Oxide (Parts Per Million),Particulate Matter 10 (Micrograms/Cubic Meter),Particulate Matter 2.5 (Micrograms/Cubic Meter),Carbon Monooxide (Parts Per Million),Ozone (Parts Per Million),Sulphur Dioxide (Parts Per Million),day_of_week,month,day_of_year
2022-01-01,38.9,33.8,29,67.34,0,9.6,7,109,1012.6,0,9.9,0,0,0,0,0.0082,0.0005,19,18,0.3135,292.698822,0.00000473707769,5,1,1
2022-01-02,36.2,31.6,29,74.65,0,9.4,5.6,195,1013.8,0,9.9,0,0,0,1,0.0032,-0.0001,12,3,0.3722,292.540894,0.00000468941471,5,1,1
2022-01-03,37.8,30.9,27.3,65.61,0,9.6,10.1,260,1015,0,9.9,0,0,0,2,0.0056,0,9,6,0.397,292.459076,0.00000462719072,5,1,1
2022-01-04,35.7,31.8,27.7,72.44,0,9.6,4.6,355,1016.4,0,9.9,0,0,0,3,0.0072,-0.0001,7,7,0.3572,292.478241,0.00000448062201,5,1,1
2022-01-05,34.5,31.6,28.1,77.12,0,9.8,3.5,239,1016.8,0,9.9,0,0,0,4,0.0083,0,12,7,0.3173,292.55127,0.00000434668345,5,1,1
2022-01-06,31.2,31.2,27,84.19,0,9.4,2.3,77,1017.9,0,9.9,0,0,0,5,0.0087,-0.0002,16,6,0.2836,292.756287,0.0000042722927,5,1,1
2022-01-07,30.4,30.4,27,86.84,0,8.9,1.2,83,1019.3,0,9.9,0,0,0,6,0.012,0.0001,7,8,0.3107,293.039276,0.00000421005234,5,1,1
2022-01-08,29.9,29.9,26.1,85.61,0,8.7,0,0,1021,0,9.9,4,0,0,7,0.0142,0.0024,14,8,0.3807,293.298553,0.00000421295999,5,1,1
2022-01-09,31.5,31.5,28.5,88.47,0,9.6,0.1,6,1022.1,0,9.3,27,0.1,0,8,0.0102,0.0045,11,13,0.3443,293.448364,0.00000428640396,5,1,1
2022-01-10,35.8,35.8,29.9,78.82,0,11.6,2.2,27,1023.2,0,9.9,71,0.3,1,9,0.0062,0.003,10,7,0.1709,293.564545,0.0000043751711,5,1,1
2022-01-11,40.2,33.4,26.7,58.2,0,16.1,11,50,1024,0,9.9,220,0.8,2,10,0.0027,0.0002,10,5,0.1493,293.72345,0.00000450384687,5,1,1
2022-01-12,43.4,36,23.9,45.79,0,25.1,15.7,58,1023.9,0,9.9,307,1.1,3,11,0.0014,-0.0003,12,2,0.1335,293.905884,0.00000468189319,5,1,1
2022-01-13,45.7,38.9,21.1,37.32,0,28.2,15.7,70,1023.3,0,9.9,384,1.4,4,12,0.0014,-0.0003,7,-1,0.127,294.090973,0.00000481013421,5,1,1
2022-01-14,46.5,39.9,21.1,36.2,0,28.4,16,66,1023.1,0,9.9,346,1.2,3,13,0.0014,0.0001,6,0,0.1326,294.293091,0.0000049517862,5,1,1
